levår;orgnr.;navn;levmnd;egg_konv_kg;egg_øko_kg;egg_totalt_kg
2024;921996144;A & A SALTE KYLLINGOPPDRETT AS;januar;2752;0;2752
2024;921996144;A & A SALTE KYLLINGOPPDRETT AS;februar;1254;0;1254
2024;921996144;A & A SALTE KYLLINGOPPDRETT AS;mars;5320;0;5320
2024;921996144;A & A SALTE KYLLINGOPPDRETT AS;april;589;0;589
2024;921996144;A & A SALTE KYLLINGOPPDRETT AS;juli;1267;0;1267
2024;921996144;A & A SALTE KYLLINGOPPDRETT AS;august;9049;;9049
2024;921996144;A & A SALTE KYLLINGOPPDRETT AS;september;2419;;2419
2024;921996144;A & A SALTE KYLLINGOPPDRETT AS;oktober;614;;614
2024;921996144;A & A SALTE KYLLINGOPPDRETT AS;november;506;;506
2024;921996144;A & A SALTE KYLLINGOPPDRETT AS;desember;407;;407
2024;991641165;AANON MIDSTUE;januar;14822;0;14822
2024;991641165;AANON MIDSTUE;februar;11256;0;11256
2024;991641165;AANON MIDSTUE;mars;3658;0;3658
2024;991641165;AANON MIDSTUE;mai;8588;0;8588
2024;991641165;AANON MIDSTUE;juni;11724;0;11724
2024;991641165;AANON MIDSTUE;juli;14970;0;14970
2024;991641165;AANON MIDSTUE;august;12571;;12571
2024;991641165;AANON MIDSTUE;september;12651;;12651
2024;991641165;AANON MIDSTUE;oktober;15465;;15465
2024;991641165;AANON MIDSTUE;november;12203;;12203
2024;991641165;AANON MIDSTUE;desember;13502;;13502
2024;886334192;AASMUND GRESSETH;januar;11460;0;11460
2024;886334192;AASMUND GRESSETH;februar;6776;0;6776
2024;886334192;AASMUND GRESSETH;mars;5444;0;5444
2024;886334192;AASMUND GRESSETH;april;10275;0;10275
2024;886334192;AASMUND GRESSETH;mai;7568;0;7568
2024;886334192;AASMUND GRESSETH;juni;12422;0;12422
2024;886334192;AASMUND GRESSETH;juli;11055;0;11055
2024;886334192;AASMUND GRESSETH;august;9753;;9753
2024;886334192;AASMUND GRESSETH;september;10457;;10457
2024;886334192;AASMUND GRESSETH;oktober;4569;;4569
2024;886334192;AASMUND GRESSETH;desember;8180;;8180
2024;869138002;AGA INGRID NÅ OG BJARNE ANS;januar;11889;0;11889
2024;869138002;AGA INGRID NÅ OG BJARNE ANS;februar;13985;0;13985
